Source,Target
Engellandt Leibs Guardi@PER,Thomas Candisch@PER
Engellandt Leibs Guardi@PER,Macuieguarai@PER
Engellandt Leibs Guardi@PER,Walthern Ralegh@PER
Engellandt Leibs Guardi@PER,Avgvstinvm Cassiodorvm Reinivm@PER
Engellandt Leibs Guardi@PER,Lorentz Keymis@PER
Engellandt Leibs Guardi@PER,Vnd@PER
Engellandt Leibs Guardi@PER,Engellandt@LOC
Engellandt Leibs Guardi@PER,Amapaia@LOC
Engellandt Leibs Guardi@PER,Frantzen Prettie@PER
Engellandt Leibs Guardi@PER,Quito@LOC
Engellandt Leibs Guardi@PER,Guiana@LOC
Engellandt Leibs Guardi@PER,Jar@LOC
Engellandt Leibs Guardi@PER,Peru@LOC
Engellandt Leibs Guardi@PER,Arromaia@LOC
Olaj Magni@PER,Rom@LOC
Olaj Magni@PER,Olavm Magnvm@PER
Olaj Magni@PER,Gothien@LOC
Olaj Magni@PER,Vnd@PER
Olaj Magni@PER,Johann Jacoben@PER
Olaj Magni@PER,Jar@LOC
Olaj Magni@PER,Schweden@LOC
Brasilien@LOC,Dieterich Bry@PER
Brasilien@LOC,Homberg@LOC
Brasilien@LOC,Darinn Brasilia@LOC
Brasilien@LOC,Lüttich@LOC
Brasilien@LOC,Hessen@LOC
Dieterich Bry@PER,Homberg@LOC
Dieterich Bry@PER,Darinn Brasilia@LOC
Dieterich Bry@PER,Lüttich@LOC
Dieterich Bry@PER,Hessen@LOC
de Fresne@PER,Jacob@PER
de Fresne@PER,Jetzundt@PER
de Fresne@PER,De la Nove Jn Frantzoesischer@PER
Franckreich@PER,Frid@PER
Franckreich@PER,Von de Raisz@PER
Frantzen Draeck@PER,Teutscher Meil@PER
Frantzen Draeck@PER,Thomas Candisch@PER
Frantzen Draeck@PER,Macuieguarai@PER
Frantzen Draeck@PER,Walthern Ralegh@PER
Frantzen Draeck@PER,Avgvstinvm Cassiodorvm Reinivm@PER
Frantzen Draeck@PER,Lorentz Keymis@PER
Frantzen Draeck@PER,Vnd@PER
Frantzen Draeck@PER,Engellandt@LOC
Frantzen Draeck@PER,Amapaia@LOC
Frantzen Draeck@PER,Frantzen Prettie@PER
Frantzen Draeck@PER,Quito@LOC
Frantzen Draeck@PER,Guiana@LOC
Frantzen Draeck@PER,Jar@LOC
Frantzen Draeck@PER,Peru@LOC
Frantzen Draeck@PER,Arromaia@LOC
Hispanien@LOC,Peter Sauorgnan@PER
Hispanien@LOC,Herrn Herrn Ferdinanden Römischen@LOC
Hispanien@LOC,Hispanischer Sprach von Cortesio@PER
Hispanien@LOC,Tittel@PER
Hispanien@LOC,Darzů@PER
Hispanien@LOC,Carlos V.@PER
Hispanien@LOC,Xysto Betuleio@PER
Hispanien@LOC,Jar@LOC
Hispanien@LOC,Temixtitan@LOC
Hispanien@LOC,Ferdinandi Cortesii@PER
Hispanien@LOC,Andrea Diethero@PER
Hispanien@LOC,Carolvm@PER
Hispanien@LOC,Hochteütsche@LOC
Eychman Ordinarij Professoris Medici@PER,Dryandri@PER
Eychman Ordinarij Professoris Medici@PER,H. Philipsen Landtgraff@PER
Eychman Ordinarij Professoris Medici@PER,Homberg@LOC
Eychman Ordinarij Professoris Medici@PER,Menschfresser Leuthen@PER
Eychman Ordinarij Professoris Medici@PER,Nidda@LOC
Eychman Ordinarij Professoris Medici@PER,Vnd@PER
Eychman Ordinarij Professoris Medici@PER,Homburg@LOC
Eychman Ordinarij Professoris Medici@PER,Christi@LOC
Eychman Ordinarij Professoris Medici@PER,D. Joh@PER
Eychman Ordinarij Professoris Medici@PER,Hessen@LOC
Eychman Ordinarij Professoris Medici@PER,Dedicirt@PER
